序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1755,300319,麦捷科技,深圳市麦捷微电子科技股份有限公司,深圳市,龙华区,14.41亿,-3.51亿,3370,2012-05-23,--,,电子元件,--,电子产品生产加工和销售。
1756,300320,海达股份,江阴海达橡塑股份有限公司,无锡市,江阴市,12.92亿,1.42亿,2089,2012-06-01,--,,其他橡胶制品,--,橡胶制品、塑料制品、金属制品、通用设备、专用设备的制造、加工。
1757,300321,同大股份,山东同大海岛新材料股份有限公司,潍坊市,昌邑市,4.37亿,2448.47万,608,2012-05-23,--,,纺织面料,--,生产销售：超纤基布、超纤光面革、超纤绒面革、服装面料及辅料（不含棉纺）等。
1758,300322,硕贝德,惠州硕贝德无线科技股份有限公司,惠州市,惠城区,20.70亿,2049.77万,2060,2012-06-08,--,,电子零部件,--,无线通信终端天线的研发、生产及销售
1759,300323,华灿光电,华灿光电股份有限公司,武汉市,江夏区,26.30亿,5.02亿,3762,2012-06-01,--,,LED,--,生产、销售高亮度LED芯片
1760,300324,旋极信息,北京旋极信息技术股份有限公司,北京市,海淀区,32.97亿,5.11亿,3723,2012-06-08,--,,其他软件服务,--,嵌入式产品的开发、生产、销售和服务业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1761,300325,德威新材,江苏德威新材料股份有限公司,苏州市,太仓市,17.87亿,2017.53万,879,2012-06-01,--,,塑料制品,--,线缆用高分子材料的研发、生产和销售
1762,300326,凯利泰,上海凯利泰医疗科技股份有限公司,上海市,浦东新区,8.02亿,1.94亿,846,2012-06-13,--,,医疗器械,--,椎体成形微创介入手术系统的研发、生产和销售
1763,300327,中颖电子,中颖电子股份有限公司,上海市,长宁区,6.86亿,1.29亿,363,2012-06-13,--,,集成电路,--,集成电路产品的设计和销售，以及相关的售后服务及技术服务
1764,300328,宜安科技,东莞宜安科技股份有限公司,东莞市,东莞市,8.11亿,2610.72万,2119,2012-06-19,--,,铝,--,新材料研发、设计、生产、销售
1765,300329,海伦钢琴,海伦钢琴股份有限公司,宁波市,北仑区,4.70亿,4089.58万,1334,2012-06-19,--,,钢琴,--,钢琴的研发、制造、销售与服务，艺术教育培训产业以及电商业务等
1766,300330,华虹计通,上海华虹计通智能系统股份有限公司,上海市,长宁区,2.24亿,594.91万,170,2012-06-19,--,,其他软件服务,--,非接触式IC卡自动收费系统的设计、开发、集成、销售和服务及相关终端产品的生产和销售
1767,300331,苏大维格,苏州苏大维格科技集团股份有限公司,苏州市,苏州市,9.44亿,7660.79万,2291,2012-06-28,--,,显示器件,--,微纳光学产品的研发、制造与技术服务
1768,300332,天壕环境,天壕环境股份有限公司,北京市,海淀区,19.84亿,7417.72万,1677,2012-06-28,--,,电力,--,以合同能源管理模式从事余热发电项目的连锁投资、研发设计、工程建设和运营管理
1769,300333,兆日科技,深圳兆日科技股份有限公司,深圳市,福田区,2.31亿,3633.12万,361,2012-06-28,--,,行业应用软件,--,专注于银行对公移动支付安全产品、票据防伪及纸纹防伪技术的研发及销售
1770,300334,津膜科技,天津膜天膜科技股份有限公司,天津市,滨海新区,6.33亿,-6336.44万,644,2012-07-05,--,,污水处理工程,--,超、微滤膜及膜组件的研发、生产和销售
1771,300335,迪森股份,广州迪森热能技术股份有限公司,广州市,黄埔区,19.21亿,2.55亿,1116,2012-07-10,--,,电力,--,利用生物质燃料等新型清洁能源，为客户提供热能运营服务
1772,300336,新文化,上海新文化传媒集团股份有限公司,上海市,虹口区,12.33亿,2.46亿,209,2012-07-10,--,,影视,--,影视剧的投资、制作、发行及衍生业务
1773,300337,银邦股份,银邦金属复合材料股份有限公司,无锡市,无锡市,19.89亿,738.26万,1032,2012-07-18,--,,铝,--,新型金属材料的研发、生产
1774,300338,开元股份,长沙开元仪器股份有限公司,长沙市,长沙县,9.81亿,1.67亿,6193,2012-07-26,--,,在线教育,--,教育培训服务；煤质检测仪器设备的研发、生产、销售和服务
1775,300339,润和软件,江苏润和软件股份有限公司,南京市,雨花台区,16.12亿,2.49亿,9920,2012-07-18,--,,行业应用软件,--,向国内外客户提供以数字化解决方案为基础的综合科技服务，业务聚焦在“金融科技”、“智能终端信息化”、“智慧能源信息化”等专业领域。
1776,300340,科恒股份,江门市科恒实业股份有限公司,江门市,江海区,20.61亿,1.19亿,1426,2012-07-26,--,,电池,--,高性能稀土发光材料、锂电材料的研发、生产和销售
1777,300341,麦克奥迪,麦克奥迪(厦门)电气股份有限公司,厦门市,翔安区,8.64亿,1.39亿,2206,2012-07-26,--,,输配电设备,--,研制、开发、生产和销售输变电行业相配套的绝缘制品及其它相关部件以及显微镜、医疗主营业务板块
1778,300342,天银机电,常熟市天银机电股份有限公司,苏州市,常熟市,7.73亿,1.91亿,1278,2012-07-26,--,,压缩机,--,冰箱压缩机用配套产品
1779,300343,联创股份,山东联创产业发展集团股份有限公司,淄博市,张店区,27.68亿,3.93亿,1292,2012-08-01,--,,行业应用软件,--,化工新材料与数字营销服务
1780,300344,太空智造,太空智造股份有限公司,北京市,丰台区,4.69亿,-1788.31万,277,2012-08-01,--,,耐火材料,--,太空板(发泡水泥复合板)系列产品的研发、设计、生产、销售及安装、BIM软件市场拓展、销售、技术支持、BIM咨询服务、软件开发、技术服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1781,300345,华民股份,湖南华民控股集团股份有限公司,长沙市,长沙市,1.51亿,-5558.52万,298,2012-08-01,--,,基础件,--,提供以核心技术专利产品鉻锰钨抗磨铸铁磨球以及台阶型衬板为依托，向前延伸物料检测、磨球级配技术，向后延伸售后跟踪服务为一体的节能球磨整体技术解决方案。
1782,300346,南大光电,江苏南大光电材料股份有限公司,苏州市,吴中区,1.77亿,3579.45万,652,2012-08-07,--,,半导体材料,--,光电新材料MO源的研发、生产和销售
1783,300347,泰格医药,杭州泰格医药科技股份有限公司,杭州市,滨江区,16.87亿,3.32亿,4959,2012-08-17,--,,医疗服务,--,提供综合生物制药研发服务
1784,300348,长亮科技,深圳市长亮科技股份有限公司,深圳市,南山区,8.80亿,8765.66万,4790,2012-08-17,--,,行业应用软件,--,提供商业银行IT解决方案与服务，计算机软、硬件的技术开发、技术服务及相应的系统集成。
1785,300349,金卡智能,金卡智能集团股份有限公司,温州市,乐清市,16.88亿,3.41亿,1924,2012-08-17,--,,仪器仪表,--,为公用事业领域客户提供从智能设备、通讯网络、应用管理软件到互联网云服务的高价值、高性能的产品及端到端解决方案。
1786,300350,华鹏飞,华鹏飞股份有限公司,深圳市,福田区,9.64亿,8981.99万,1350,2012-08-21,--,,物流,--,综合物流服务、供应链商品销售服务
1787,300351,永贵电器,浙江永贵电器股份有限公司,台州市,天台县,12.70亿,1.64亿,2841,2012-09-20,--,,轨道交通设备,--,从事连接器、端接件及接线装置等产品的研发、生产、销售
1788,300352,北信源,北京北信源软件股份有限公司,北京市,海淀区,5.15亿,9034.41万,1346,2012-09-12,--,,行业应用软件,--,信息安全软件产品的研发、生产、销售及技术服务
1789,300353,东土科技,北京东土科技股份有限公司,北京市,石景山区,8.21亿,1.25亿,1433,2012-09-27,--,,通信传输设备,--,工业互联网核心硬件及软件技术的研发、生产与销售
1790,300354,东华测试,江苏东华测试技术股份有限公司,泰州市,靖江市,1.29亿,456.83万,530,2012-09-20,--,,仪器仪表,--,结构力学性能测试仪器及配套软件的研发、生产和销售，并提供应用解决方案和技术服务。
1791,300355,蒙草生态,内蒙古蒙草生态环境(集团)股份有限公司,呼和浩特市,和林格尔县,55.79亿,8.80亿,1464,2012-09-27,--,,环保,--,种业科技、生态修复
1792,300356,光一科技,光一科技股份有限公司,南京市,江宁区,5.40亿,-3.96亿,526,2012-10-09,--,,电气仪表,--,智能用电信息采集系统软硬件的研发、生产和销售
1793,300357,我武生物,浙江我武生物科技股份有限公司,湖州市,德清县,3.86亿,1.86亿,1067,2014-01-21,--,,生物医药,--,研发、生产和销售变应原制品
1794,300358,楚天科技,楚天科技股份有限公司,长沙市,宁乡县,12.80亿,1.60亿,3035,2014-01-21,--,,医疗器械,--,制药装备的研发、设计、生产、销售和服务。
1795,300359,全通教育,全通教育集团(广东)股份有限公司,中山市,中山市,10.31亿,1.02亿,1585,2014-01-21,--,,教育信息化服务,--,综合利用移动通信和互联网技术手段，采用与基础运营商合作发展的模式，构建信息化系统平台，为中小学校（幼儿园）及学生家长提供即时、便捷、高效的沟通互动服务，推动家庭教育和学校教育二者间的良性配合，满足家长对于关心子女健康成长、提升教育有效性的需要，同时在统一业务体系下，为学生提供学习辅导、学习资源等产品。
1796,300360,炬华科技,杭州炬华科技股份有限公司,杭州市,余杭区,9.73亿,1.57亿,1077,2014-01-21,--,,电气仪表,--,能源计量仪表和能耗信息采集系统产品研发、生产与销售
1797,300362,天翔环境,成都天翔环境股份有限公司,成都市,青白江区,9.40亿,7060.09万,817,2014-01-21,--,,环保设备,--,大型节能环保及清洁能源设备的研发、生产和销售。
1798,300363,博腾股份,重庆博腾制药科技股份有限公司,重庆市,长寿区,11.84亿,9449.77万,2373,2014-01-29,--,,化学原料药,--,医药定制研发生产服务。
1799,300364,中文在线,中文在线数字出版集团股份有限公司,北京市,东城区,7.17亿,8109.23万,614,2015-01-21,--,,平面媒体,--,提供数字阅读产品、数字出版运营服务和数字内容增值服务。
1800,300365,恒华科技,北京恒华伟业科技股份有限公司,北京市,西城区,8.56亿,1.92亿,1059,2014-01-23,--,,其他软件服务,--,软件开发和技术服务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1801,300366,创意信息,创意信息技术股份有限公司,成都市,青羊区,16.09亿,1.74亿,1494,2014-01-27,--,,其他软件服务,--,电信级数据网络系统解决方案及技术服务
1802,300367,东方网力,东方网力科技股份有限公司,北京市,海淀区,18.55亿,3.80亿,1159,2014-01-29,--,,专用计算机设备,--,城市视频监控管理平台的研发、制造、销售及提供相关技术服务
1803,300368,汇金股份,河北汇金机电股份有限公司,石家庄市,裕华区,6.21亿,-2.14亿,978,2014-01-23,--,,金融设备,--,为金融银行业提供软件、硬件整体解决方案
1804,300369,绿盟科技,绿盟科技集团股份有限公司,北京市,海淀区,12.55亿,1.53亿,2941,2014-01-29,--,,行业应用软件,--,信息安全产品的研发、生产、销售及提供专业安全服务
1805,300370,安控科技,北京安控科技股份有限公司,北京市,海淀区,17.66亿,1.65亿,1068,2014-01-23,--,,油气服务、智慧产业、自动化,--,以自动化、信息化技术为核心的智慧产业解决方案和产品的研发、生产、销售及运营。
1806,300371,汇中股份,汇中仪表股份有限公司,唐山市,唐山市,2.47亿,6524.11万,456,2014-01-23,--,,仪器仪表,--,超声热量表、超声水表、超声流量计等产品的开发、生产和销售。
1807,300372,欣泰退,丹东欣泰电气股份有限公司,--,辽宁,4188.07万,-1.41亿,348,2014-01-27,--,,--,主营业务:节能型输变电设备和无功补偿装置等电网性能优化设备的开发、生产及销售,节能型输变电设备和无功补偿装置等电网性能优化设备的开发、生产及销售
1808,300373,扬杰科技,扬州扬杰电子科技股份有限公司,扬州市,邗江区,14.70亿,2.67亿,2505,2014-01-23,--,,半导体分立器件,--,分立器件芯片、功率二极管、整流桥等半导体分立器件产品的研发、制造与销售。
1809,300374,中铁装配,中铁装配式建筑股份有限公司,北京市,房山区,10.67亿,7029.11万,589,2015-03-19,,,装修装饰材料,--,以无机集料阻燃木塑复合墙板为核心产品的、可循环再利用新型建筑材料的研发、生产、销售及组装。
1810,300375,鹏翎股份,天津鹏翎集团股份有限公司,天津市,滨海新区,11.43亿,1.19亿,2481,2014-01-27,--,,汽车零部件,--,汽车用胶管的科研、开发、生产和销售
1811,300376,易事特,易事特集团股份有限公司,东莞市,东莞市,73.18亿,7.14亿,1656,2014-01-27,--,,太阳能,--,主要从事5G+智慧电源（5G供电、轨道交通供电、智能供配电、特种电源）、智慧城市&大数据（云计算/边缘计算数据中心、IT基础设施）、智慧能源（光伏发电、储能、充电桩、微电网）三大战略板块业务的研发、生产与销售服务。
1812,300377,赢时胜,深圳市赢时胜信息技术股份有限公司,深圳市,福田区,5.37亿,2.21亿,2631,2014-01-27,--,,行业应用软件,--,为金融机构及其高端客户的资产管理和资产托管业务提供整体信息化建设解决方案的应用软件及增值服务
1813,300378,鼎捷软件,鼎捷软件股份有限公司,上海市,静安区,12.16亿,6465.64万,3894,2014-01-27,--,,其他软件服务,--,以ERP软件为核心的企业管理软件的研发、销售、实施及服务。
1814,300379,东方通,北京东方通科技股份有限公司,北京市,丰台区,2.93亿,-3.07亿,680,2014-01-28,--,,基础软件,--,从事基础软件中间件、信息安全、网络安全、应急安全等产品和解决方案的研发、销售与服务。
1815,300380,安硕信息,上海安硕信息技术股份有限公司,上海市,杨浦区,5.14亿,838.39万,2725,2014-01-28,--,,行业应用软件,--,提供信贷风险业务管理咨询、软件开发与服务
1816,300381,溢多利,广东溢多利生物科技股份有限公司,珠海市,香洲区,14.99亿,1.05亿,2503,2014-01-28,--,,生物医药,--,从事饲用酶制剂产品研发、生产和销售，生物医药产品研发、生产和销售。
1817,300382,斯莱克,苏州斯莱克精密设备股份有限公司,苏州市,吴中区,5.49亿,1.33亿,993,2014-01-29,--,,其他专用机械,--,从事高速易拉盖、易拉罐等金属包装制品生产设备的研发、设计、生产、装配调试，相关精密模具、智能检测设备、零备件的研发、加工制造及光伏发电等业务。
1818,300383,光环新网,北京光环新网科技股份有限公司,北京市,门头沟区,40.77亿,4.44亿,1124,2014-01-29,--,,云服务(含IDC、CDN),--,互联网数据中心业务(IDC及其增值服务)及云计算业务
1819,300384,三联虹普,北京三联虹普新合纤技术服务股份有限公司,北京市,海淀区,2.93亿,9029.17万,279,2014-08-01,,,整体工程技术解决方案,--,为锦纶企业提供包括核心技术方案设计、工程设计、主工艺非标设备设计及制造、技术实施、系统集成、运营技术支持和后续服务等在内的整体工程技术解决方案
1820,300385,雪浪环境,无锡雪浪环境科技股份有限公司,无锡市,滨湖区,8.18亿,7605.26万,702,2014-06-26,--,,环保设备,--,烟气净化、灰渣处理、危险废弃物处置相关业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1821,300386,飞天诚信,飞天诚信科技股份有限公司,北京市,海淀区,11.03亿,1.04亿,932,2014-06-26,,,专用计算机设备,--,以身份认证为核心的信息安全产品的研发、生产、销售和服务
1822,300387,富邦股份,湖北富邦科技股份有限公司,孝感市,应城市,5.30亿,6365.74万,278,2014-07-02,--,,其他化学制品,--,化肥助剂的研发、生产、销售和服务
1823,300388,国祯环保,安徽国祯环保节能科技股份有限公司,合肥市,蜀山区,26.28亿,2.08亿,2987,2014-08-01,,,污水处理,--,生活污水处理投资运营业务、环境工程EPC业务、污水处理设备生产销售业务
1824,300389,艾比森,深圳市艾比森光电股份有限公司,深圳市,龙岗区,15.47亿,1.04亿,2230,2014-08-01,--,,LED,--,LED应用产品的研发、生产、销售和服务
1825,300390,天华超净,苏州天华超净科技股份有限公司,苏州市,相城区,7.36亿,3451.71万,1204,2014-07-31,,,电子零部件,--,防静电超净技术产品研发、生产和销售
1826,300391,康跃科技,康跃科技股份有限公司,潍坊市,寿光市,7.44亿,6766.63万,1098,2014-08-01,--,,内燃机,--,内燃机增压器的研发、制造和销售；智能成套装备制造及新能源业务
1827,300392,腾信股份,北京腾信创新网络营销技术股份有限公司,北京市,朝阳区,16.24亿,-1.37亿,143,2014-09-10,,,营销服务,--,为客户在互联网上提供广告和公关服务，通过分析相关数据，使得广告和公关服务的精准度更高，服务效果更好。
1828,300393,中来股份,苏州中来光伏新材股份有限公司,苏州市,常熟市,32.43亿,2.62亿,2347,2014-09-12,,,电池,--,太阳能电池背膜的研发、生产与销售
1829,300394,天孚通信,苏州天孚光通信股份有限公司,苏州市,虎丘区,3.38亿,1.09亿,1714,2015-02-17,,,光学元件,--,光通信领域从事光器件的研发、生产和销售。
1830,300395,菲利华,湖北菲利华石英玻璃股份有限公司,荆州市,石首市,5.45亿,1.22亿,1352,2014-09-10,,,非金属新材料,--,从事新材料产品及装备的技术开发、技术转让、技术咨询、技术服务；石英材料、玻璃材料、特种纤维材料、复合材料及制品的制造与销售
1831,300396,迪瑞医疗,迪瑞医疗科技股份有限公司,长春市,长春市,8.68亿,2.11亿,1885,2014-09-10,--,,医疗器械,--,医疗检验仪器及配套试纸试剂的研发、生产与销售。
1832,300397,天和防务,西安天和防务技术股份有限公司,西安市,雁塔区,3.54亿,7695.08万,2622,2014-09-10,--,,电子零部件,--,以连续波雷达技术和光电探测技术为核心的侦察、指挥、控制系统的研发、生产、销售及技术贸易。
1833,300398,飞凯材料,上海飞凯光电材料股份有限公司,上海市,宝山区,8.20亿,8783.99万,1652,2014-10-09,,,涂料涂漆,--,高科技领域适用的紫外固化材料等新材料的研究、生产和销售。
1834,300399,京天利,北京无线天利移动信息技术股份有限公司,北京市,石景山区,3.22亿,-2310.24万,356,2014-10-09,--,,通信配套服务,--,提供行业移动信息服务和个人移动信息服务。
1835,300400,劲拓股份,深圳市劲拓自动化设备股份有限公司,深圳市,宝安区,4.78亿,8077.79万,1161,2014-10-10,--,,智能装备,--,电子整机装联设备的研发、生产和销售
1836,300401,花园生物,浙江花园生物高科股份有限公司,金华市,东阳市,4.20亿,1.30亿,525,2014-10-09,--,,化学原料药,--,维生素D3上下游系列产品的研发、生产和销售。
1837,300402,宝色股份,南京宝色股份公司,南京市,江宁区,4.40亿,1053.82万,690,2014-10-10,--,,金属制品,--,"钛、镍、锆、钽、铜等有色金属及其合金、高级不锈钢和金属复合材料等特种材料非标设备的研发、设计、制造、安装,以及有色金属焊接压力管道、管件的制造和安装。"
1838,300403,汉宇集团,汉宇集团股份有限公司,江门市,江海区,7.78亿,1.59亿,1799,2014-10-30,--,,基础件,--,高效节能家用电器排水泵、终端电器板块、工业机器人板块、新能源汽车核心部件板块的研发、生产和销售
1839,300404,博济医药,广州博济医药生物技术股份有限公司,广州市,天河区,1.31亿,-2676.71万,651,2015-04-24,,,医疗服务,--,"为医药企业和其他新药研发机构的新药研发提供临床前研究服务、临床研究服务、技术成果转化服务以及与新药研发有关的其他咨询服务等,协助客户快速、高效地完成新药研发的各个阶段。"
1840,300405,科隆股份,辽宁科隆精细化工股份有限公司,辽阳市,宏伟区,11.28亿,2260.67万,688,2014-10-30,--,,其他化学制品,--,以环氧乙烷为主要原料的精细化工新材料系列产品研发、生产与销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1841,300406,九强生物,北京九强生物技术股份有限公司,北京市,海淀区,6.94亿,2.73亿,529,2014-10-30,,,生物医药,--,"主要从事体外诊断试剂的研发、生产和销售,并辅以销售生化分析仪器。"
1842,300407,凯发电气,天津凯发电气股份有限公司,天津市,天津市,14.58亿,6506.84万,1403,2014-12-03,,,电气自控设备,--,提供铁路、城市轨道交通等领域自动化控制产品系统
1843,300408,三环集团,潮州三环(集团)股份有限公司,潮州市,潮安区,31.30亿,10.86亿,7001,2014-12-03,,,电子元件,--,电子陶瓷类电子元件及其基础材料的生产和销售
1844,300409,道氏技术,广东道氏技术股份有限公司,江门市,恩平市,16.96亿,2.10亿,1322,2014-12-03,,,涂料涂漆,--,为建筑陶瓷企业提供新型釉面材料、产品设计开发与综合技术服务，为陶瓷釉面砖产品创新提供整体解决方案。
1845,300410,正业科技,广东正业科技股份有限公司,东莞市,东莞市,12.65亿,2.00亿,1731,2014-12-31,,,检测仪器,--,从事PCB精密加工检测设备、PCB精密加工辅助材料、X光自动化检测系列设备等业务
1846,300411,金盾股份,浙江金盾风机股份有限公司,绍兴市,上虞区,4.65亿,7071.46万,632,2014-12-31,,,其他通用机械,--,从事风机、消声器、风阀等通风设备及通风系统的研发、生产和销售
1847,300412,迦南科技,浙江迦南科技股份有限公司,温州市,永嘉县,4.45亿,4781.00万,1420,2014-12-31,,,医疗器械,--,固体制剂设备的研发、生产和销售
1848,300413,芒果超媒,芒果超媒股份有限公司,长沙市,开福区,82.71亿,8.06亿,4185,2015-01-21,--,,网上购物,--,新媒体平台运营、新媒体互动娱乐内容制作及媒体零售全产业链
1849,300414,中光防雷,四川中光防雷科技股份有限公司,成都市,郫县,3.64亿,3595.50万,801,2015-05-13,,,其他输变电设备,--,从事防雷产品的研发、生产和销售，雷电防护工程的设计和安装，提供防雷产品和雷电防护工程一体化的整体解决方案。
1850,300415,伊之密,广东伊之密精密机械股份有限公司,佛山市,顺德区,20.08亿,2.81亿,2809,2015-01-23,,,其他专用机械,--,精密节能注塑机、高性能铝镁合金压铸机、高品质橡胶机等系列产品。
1851,300416,苏试试验,苏州苏试试验集团股份有限公司,苏州市,吴中区,4.91亿,6953.10万,1571,2015-01-22,--,,仪器仪表,--,致力于环境试验设备的研发和生产，及为客户提供全面的环境与可靠性试验服务。
1852,300417,南华仪器,佛山市南华仪器股份有限公司,佛山市,南海区,1.86亿,3723.74万,559,2015-01-23,,,仪器仪表,--,机动车环保和安全检测用分析仪器及系统研发、生产和销售
1853,300418,昆仑万维,北京昆仑万维科技股份有限公司,北京市,海淀区,34.36亿,14.19亿,717,2015-01-21,,,游戏,--,综合性互联网增值服务
1854,300419,浩丰科技,北京浩丰创源科技股份有限公司,北京市,海淀区,5.43亿,5667.86万,338,2015-01-22,--,,其他软件服务,--,向银行、保险、制造、商业流通与服务、政府及公共事业等行业或领域提供具有自主知识产权的营销信息化解决方案，包括联络中心及统一通信平台、营销业务及管理平台和相关技术服务。
1855,300420,五洋停车,江苏五洋停车产业集团股份有限公司,徐州市,铜山区,7.55亿,7005.97万,1629,2015-02-17,--,,起重运输设备,--,散料搬运核心装置、立体车库、成套生产线和输送仓储设备、混凝土搅拌站、管型母线、固态电子硬盘及存储设备
1856,300421,力星股份,江苏力星通用钢球股份有限公司,南通市,如皋市,6.63亿,7397.34万,1011,2015-02-17,,,其他通用机械,--,精密轴承钢球的研发、生产和销售
1857,300422,博世科,广西博世科环保科技股份有限公司,南宁市,西乡塘区,14.69亿,1.45亿,3936,2015-02-17,,,水污染治理、供水、二氧化氯制备及清洁化生产,--,高浓度有机废水厌氧处理、难降解废水深度处理、重金属污染治理和制浆造纸清洁漂白二氧化氯制备等。
1858,300423,鲁亿通,山东鲁亿通智能电气股份有限公司,烟台市,莱阳市,2.64亿,2763.60万,1826,2015-02-17,,,其他电气设备,--,电气成套设备的研发设计、生产与销售
1859,300424,航新科技,广州航新航空科技股份有限公司,广州市,天河区,4.73亿,6629.12万,1272,2015-04-22,,,航空装备,--,为航空机载设备研制、机载设备检测设备研制、以及机载设备维修等机载设备综合保障业务。
1860,300425,中建环能,中建环能科技股份有限公司,成都市,武侯区,8.11亿,9891.02万,1534,2015-02-16,--,,环保设备,--,磁分离水体净化成套设备的销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1861,300426,唐德影视,浙江唐德影视股份有限公司,金华市,金华市,11.80亿,1.92亿,177,2015-02-17,,,影视,--,电视剧投资、制作、发行和衍生业务；电影投资、制作、发行和衍生业务；艺人经纪及相关服务业务；影视广告制作及相关服务业务；影视剧后期制作服务业务
1862,300427,红相股份,红相股份有限公司,厦门市,思明区,7.44亿,1.38亿,1274,2015-02-17,--,,电气自控设备,--,"电力设备状态检测、监测产品和电能表的研发、生产和销售,并提供相关技术服务"
1863,300428,四通新材,河北四通新型金属材料股份有限公司,保定市,保定市,62.63亿,4.22亿,7237,2015-03-19,,,其他金属新材料,--,功能性中间合金新材料和铝合金车轮轻量化的研发、生产、销售。
1864,300429,强力新材,常州强力电子新材料股份有限公司,常州市,武进区,6.40亿,1.25亿,1069,2015-03-24,,,其他化学制品,--,光刻胶专用化学品的研发、生产和销售及相关贸易业务
1865,300430,诚益通,北京诚益通控制工程科技股份有限公司,北京市,昌平区,5.55亿,8893.07万,1354,2015-03-19,,,仪器仪表,--,"从事制药、生物制品生产过程中的自动化控制应用,以自主研发的核心技术和自主生产的关键设备及组件为依托,面向大中型制药、生物企业,提供个性化的自动化控制系统产品及整体解决方案。"
1866,300431,暴风集团,暴风集团股份有限公司,北京市,石景山区,19.15亿,-1.75亿,651,2015-03-24,--,,综合互联网服务,--,互联网视频相关服务
1867,300432,富临精工,绵阳富临精工机械股份有限公司,绵阳市,涪城区,23.28亿,3.71亿,2025,2015-03-19,,,汽车零部件,--,汽车发动机精密零部件的研发、生产与销售
1868,300433,蓝思科技,蓝思科技股份有限公司,长沙市,浏阳市,237.03亿,20.23亿,103863,2015-03-18,,,电子零部件,--,视窗防护玻璃的研发、生产和销售。
1869,300434,金石亚药,四川金石亚洲医药股份有限公司,成都市,双流区,7.04亿,1.16亿,1682,2015-04-24,,,其他专用机械,--,"钢增强塑料复合管道技术的研发和应用,为客户提供钢增强塑料复合管全套生产工艺、技术解决方案及成套生产设备(生产线),真空镀膜设备的研发和制造,快克、小快克系列非处方药的研发、生产和销售,今幸胶囊等保健食品的研发、生产和销售,处方药的研发、生产和销售"
1870,300435,中泰股份,杭州中泰深冷技术股份有限公司,杭州市,富阳市,4.86亿,6021.68万,1203,2015-03-26,,,制冷空调设备,--,深冷技术的工艺开发、设备设计、制造和销售
1871,300436,广生堂,福建广生堂药业股份有限公司,宁德市,柘荣县,2.96亿,3356.53万,681,2015-04-22,,,生物医药,--,核苷类抗乙肝病毒药物的研发、生产与销售
1872,300437,清水源,河南清水源科技股份有限公司,济源市,济源市,8.41亿,1.19亿,1423,2015-04-23,,,其他化学制品,--,水处理剂的研发、生产与销售
1873,300438,鹏辉能源,广州鹏辉能源科技股份有限公司,广州市,番禺区,20.98亿,2.51亿,6708,2015-04-24,,,电池,--,锂离子电池、镍氢电池、锂铁电池及锂锰电池
1874,300439,美康生物,美康生物科技股份有限公司,宁波市,鄞州区,25.84亿,2.58亿,2397,2015-04-22,--,,生物医药,--,体外诊断产品的研发、生产和销售及提供第三方医学诊断服务。
1875,300440,运达科技,成都运达科技股份有限公司,成都市,成都市,6.90亿,1.40亿,857,2015-04-23,,,行业应用软件,--,"运用信息技术提供轨道交通机务运用安全相关的技术和解决方案,为轨道交通提供更安全、更高效的营运保障"
1876,300441,鲍斯股份,宁波鲍斯能源装备股份有限公司,宁波市,奉化区,11.15亿,1.73亿,2886,2015-04-23,,,其他通用机械,--,螺杆压缩机核心部件及整机研发、生产及销售。
1877,300442,普丽盛,上海普丽盛包装股份有限公司,上海市,金山区,6.94亿,997.75万,891,2015-04-24,,,印刷包装设备,--,液态食品包装机械和纸铝复合无菌包装材料的研发、生产与销售
1878,300443,金雷股份,金雷科技股份公司,莱芜市,钢城区,5.96亿,1.50亿,747,2015-04-22,,,风能,--,风电主轴的研发、生产和销售
1879,300444,双杰电气,北京双杰电气股份有限公司,北京市,海淀区,14.00亿,1.10亿,1603,2015-04-23,,,电气自控设备,--,配电及控制设备的研发、生产和销售
1880,300445,康斯特,北京康斯特仪表科技股份有限公司,北京市,海淀区,2.03亿,5301.37万,354,2015-04-24,,,仪器仪表,--,数字压力检测、温度校准仪器仪表产品研发、生产和销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1881,300446,乐凯新材,保定乐凯新材料股份有限公司,保定市,保定市,2.58亿,1.04亿,283,2015-04-23,,,磁性材料,--,防伪材料和电子功能材料的研发、生产和销售
